"","gsis_id","display_name","common_first_name","first_name","last_name","short_name","football_name","suffix","esb_id","nfl_id","pfr_id","pff_id","otc_id","espn_id","smart_id","birth_date","position_group","position","ngs_position_group","ngs_position","height","weight","headshot","college_name","college_conference","jersey_number","rookie_season","last_season","latest_team","status","ngs_status","ngs_status_short_description","years_of_experience","pff_position","pff_status","draft_year","draft_round","draft_pick","draft_team"
"1282","00-0027545","Adrian Battles","Adrian","Adrian","Battles",NA,NA,NA,"BAT654593",NA,"BattAd00",NA,NA,NA,"32004241-5465-4593-dfc5-c6f73dc6b194","1986-10-30","OL","G",NA,NA,75,311,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hxqkiypvu2khhoygbtjl","Minnesota State",NA,"0",2010,2010,"GB","DEV",NA,NA,0,NA,NA,NA,NA,NA,NA
"1283","00-0019129","Ainsley Battles","Ainsley","Ainsley","Battles",NA,NA,NA,"BAT664343",NA,"BattAi20",NA,NA,"2457","32004241-5466-4343-aef8-d5ba168bb6ae","1978-11-06","DB","DB",NA,NA,71,204,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lff3nlt9y5djbry0twyn","Vanderbilt",NA,"37",2000,2004,"PIT","RES",NA,NA,4,NA,NA,NA,NA,NA,NA
"1284","BAT726754","Bobby Batton","Bobby","Robert","Batton",NA,NA,NA,"BAT726754",NA,"BattBo20",NA,NA,NA,"32004241-5472-6754-e667-ed2915f3d84d","1957-03-17","RB","RB",NA,NA,71,190,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mhtzipvhsxbakzlcmf4h","UNLV; Santa Rosa",NA,"0",1980,1980,"NYJ","ACT",NA,NA,0,NA,NA,1980,7,178,"NYJ"
"1285","00-0040492","Tyler Batty","Tyler","Tyler","Batty","T.Batty","Tyler",NA,"BAT759312","58937","BattTy00","122052","12629","4608794","32004241-5475-9312-9225-c94ad5ee5df2","1999-05-02","LB","LB","DL","EDGE",77,271,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qr2chpkjx8to1a1x8ekj","BYU","Big Twelve Conference","96",2025,2026,"MIN","ACT","ACT","Active",2,"ED","A",NA,NA,NA,NA
"1286","00-0000893","Greg Baty","Greg","Gregory","Baty",NA,NA,NA,"BAT778665",NA,"BatyGr00",NA,NA,"6772","32004241-5477-8665-766d-f0292fd0472c","1964-08-28","TE","TE",NA,NA,77,241,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wk7j3hpjkh9x0ybtxrac","Stanford",NA,"0",1986,1994,"MIA","ACT",NA,NA,8,NA,NA,1986,8,220,"NE"
"1287","BAU059327","Hank Bauer","Hank","Henry","Bauer",NA,NA,NA,"BAU059327",NA,"BaueHa00",NA,NA,NA,"32004241-5505-9327-e757-d38f85512966","1954-07-15","RB","RB",NA,NA,70,200,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mknsgwkfq3hhipnndbwf","California Lutheran University",NA,"0",1977,1982,"LAC","ACT",NA,NA,6,NA,NA,NA,NA,NA,NA
"1288","00-0039609","Kyler Baugh","Kyler","Kyler","Baugh","K.Baugh","Kyler",NA,"BAU226433","57737","BaugKy00","101975","12096","4573443","32004241-5522-6433-b510-a755c3ef0c65","2001-11-28","DL","DL","DL","INTERIOR_LINE",74,305,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/msxyjmtg7hazylokz2ci","Minnesota; Houston Christian University","Big Ten Conference","65",2024,2026,"PIT","ACT","RES","Reserve/Future",1,NA,NA,NA,NA,NA,NA
"1289","00-0034169","Marcus Baugh","Marcus","Marcus","Baugh","M.Baugh","Marcus",NA,"BAU227933","46422","BaugMa02","47131","7369","3051387","32004241-5522-7933-4d25-099861ccfd59","1994-12-09","TE","TE","TE","TE",76,245,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jfeuowhacuig1v4etoqy","Ohio State","Big Ten Conference","85",2019,2020,"WAS","ACT","CUT","Waivers/No Rec.",2,"TE","A",NA,NA,NA,NA
"1290","BAU296635","Tom Baugh","Tom","Thomas","Baugh",NA,NA,NA,"BAU296635",NA,"BaugTo20",NA,NA,NA,"32004241-5529-6635-8b88-b728b10621f5","1963-12-01","OL","C",NA,NA,75,274,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qw4gnl8r6vrgxhstyss0","Southern Illinois",NA,"0",1986,1989,"CLE","ACT",NA,NA,4,NA,NA,1986,4,87,"KC"
"1291","BAU355962","Maxie Baughan","Maxie","Maxie","Baughan",NA,NA,NA,"BAU355962",NA,"BaugMa00",NA,NA,NA,"32004241-5535-5962-d66b-096ec788cf97","1938-08-03","LB","LB",NA,NA,73,230,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/b2imqgy2c1avyolaxabv","Georgia Tech",NA,"0",1974,1974,"WAS","ACT",NA,NA,12,NA,NA,NA,NA,NA,NA
"1292","00-0023808","Danny Baugher","Danny","Danny","Baugher",NA,NA,NA,"BAU368712",NA,NA,NA,NA,NA,"32004241-5536-8712-e563-047a649da8ce","1984-01-24","SPEC","P",NA,NA,70,194,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fwwdrbxu1i5w9clielq6","Arizona",NA,"0",2006,2010,"LV","CUT",NA,NA,1,NA,NA,NA,NA,NA,NA
"1293","00-0021204","Rashad Bauman","Rashad","Leddure","Bauman",NA,NA,NA,"BAU476116","27211","BaumRa20","1084",NA,"3607","32004241-5547-6116-dab1-b8404741c445","1979-05-07","DB","DB",NA,NA,68,184,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gqkjqzes7lzx7e4cp9bc","Oregon",NA,"21",2002,2006,"CIN","RES",NA,NA,5,NA,NA,2002,3,79,"WAS"
"1294","00-0030895","Zach Bauman","Zach","Zachary","Bauman",NA,NA,NA,"BAU476491",NA,"BaumZa00","9124","3215","17109","32004241-5547-6491-7e00-c1a67a2e3935","1992-07-24","RB","RB",NA,NA,70,200,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/y63ww17bt6shfahvvsnd","Northern Arizona",NA,"0",2014,2014,"ARI","DEV",NA,NA,0,NA,NA,NA,NA,NA,NA
"1295","BAU477616","Charlie Baumann","Charlie","Bruce","Baumann",NA,NA,NA,"BAU477616",NA,"baumacha01",NA,NA,NA,"32004241-5547-7616-8e66-a989bd977182","1967-08-25","SPEC","K",NA,NA,73,203,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fsvq6fzcmej3u72nhcut","West Virginia",NA,"0",1991,1992,"NE","ACT",NA,NA,2,NA,NA,NA,NA,NA,NA
"1296","BAU593270","Steve Baumgartner","Steve","Steven","Baumgartner",NA,NA,NA,"BAU593270",NA,"BaumSt20",NA,NA,NA,"32004241-5559-3270-fbd7-163c22617657","1951-03-26","DL","DE",NA,NA,79,256,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fvs5dthzidtkfvffr6dd","Purdue",NA,"0",1974,1979,"HOU","ACT",NA,NA,7,NA,NA,NA,NA,NA,NA
"1297","BAU652597","Bob Baumhower","Bob","Robert","Baumhower",NA,NA,NA,"BAU652597",NA,"BaumBo00",NA,NA,NA,"32004241-5565-2597-d1ce-e604a074deac","1955-08-04","DL","NT",NA,NA,77,261,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/amtgj4sikpb8q2acurhz","Alabama",NA,"73",1977,1986,"MIA","ACT",NA,NA,9,NA,NA,1977,2,40,"MIA"
"1298","00-0036418","Zack Baun","Zack","Zack","Baun","Z.Baun","Zack",NA,"BAU677316","52482","BaunZa00","34632","8814","3917657","32004241-5567-7316-c31c-c66079e71b79","1996-12-30","LB","LB","LB","MLB",75,225,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lxfptgyjuuwmvxrwr3m4","Wisconsin","Big Ten Conference","53",2020,2026,"PHI","ACT","ACT","Active",7,"LB","A",2020,3,74,"NO"
"1299","00-0031991","DeVante Bausby","DeVante","DeVante","Bausby","D.Bausby","De'Vante",NA,"BAU711100","42992","BausDe00","10057","4549","2613234","32004241-5571-1100-c9b2-6990ef8a8b31","1993-01-15","DB","CB","DB","CB",74,190,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/r2jjwmwoy2rkgthvsyto","Pittsburg State (KS)","Mid-America Intercollegiate Athletic Association","0",2015,2021,"NE","DEV","CUT","Active",5,"CB","A",NA,NA,NA,NA
"1300","00-0000906","David Bavaro","David","David","Bavaro",NA,NA,NA,"BAV276861",NA,"BavaDa20",NA,NA,"7184","32004241-5627-6861-d19c-6b256de9c9eb","1967-03-27","LB","ILB",NA,NA,72,228,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/utvinik4sepzcrhqazko","Syracuse",NA,"0",1990,1994,"NE","ACT",NA,NA,3,NA,NA,1990,9,225,"ARI"
"1301","00-0000907","Mark Bavaro","Mark","Mark","Bavaro",NA,NA,NA,"BAV553722",NA,"BavaMa00",NA,NA,"6491","32004241-5655-3722-eba0-b4b591bbff8c","1963-04-28","TE","TE",NA,NA,76,245,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hqggmwh4wshvxe1ozkmm","Notre Dame",NA,"0",1985,1994,"PHI","ACT",NA,NA,9,NA,NA,1985,4,100,"NYG"
"1302","00-0034433","Nick Bawden","Nick","Charles","Bawden","N.Bawden","Nick",NA,"BAW346075","46306","BawdNi00","27413","7122","3125232","32004241-5734-6075-a91d-09a2ddc139e7","1996-06-22","RB","RB","TE","TE",74,245,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rz1cgqj4rvl2xjffxyia","San Diego State","Mountain West Conference",NA,2018,2023,"NYJ","DEV","CUT","Active",6,"FB","A",2018,7,237,"DET"
"1303","BAX166116","Carl Bax","Carl","Carl","Bax",NA,NA,NA,"BAX166116",NA,"BaxxCa20",NA,NA,NA,"32004241-5816-6116-9fe3-57e7cc24fa8f","1966-01-05","OL","G",NA,NA,76,290,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kxyiyp2xhbyp9ekwvclr","Missouri",NA,"0",1989,1990,"TB","ACT",NA,NA,2,NA,NA,1989,8,200,"TB"
"1304","BAX265785","Rob Baxley","Rob","Robert","Baxley",NA,NA,NA,"BAX265785",NA,"BaxlRo20",NA,NA,NA,"32004241-5826-5785-d829-6f0db8911c49","1969-03-14","OL","OT",NA,NA,77,285,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tfcogtsu7dxdevg51c62","Iowa",NA,"0",1992,1993,"ARI","RES",NA,NA,2,NA,NA,1992,11,286,"ARI"
"1305","00-0029912","Alan Baxter","Alan","Alan","Baxter",NA,NA,NA,"BAX499578",NA,"BaxtAl00","8338","2808","16046","32004241-5849-9578-8126-5e17b38e516d","1991-03-28","LB","LB",NA,NA,72,238,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gkyul8mtqjkiwleebpq3","Northern Illinois",NA,"0",2013,2013,"IND","DEV",NA,NA,0,NA,NA,NA,NA,NA,NA
"1306","00-0028573","Colin Baxter","Colin","Colin","Baxter",NA,NA,NA,"BAX000000",NA,"BaxtCo00","6729","440","14324","32004241-5800-0000-ac7e-279c78e3dff3","1987-07-31","OL","C",NA,NA,75,310,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zpkubj49mhzea23zl9bt","Arizona",NA,"64",2011,2012,"LAC","ACT",NA,NA,2,"C",NA,NA,NA,NA,NA
"1307","00-0000911","Fred Baxter","Fred","Frederick","Baxter",NA,NA,NA,"BAX522078",NA,"BaxtFr00",NA,NA,"461","32004241-5852-2078-37b9-1295f06f6541","1971-06-14","TE","TE",NA,NA,75,268,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vizzpb6aucnrzpzynx9a","Auburn",NA,"43",1993,2004,"WAS","CUT",NA,NA,12,NA,NA,1993,5,115,"NYJ"
"1308","00-0020472","Gary Baxter","Gary","Gary","Baxter",NA,NA,NA,"BAX545809","26280","BaxtGa20","829",NA,"2610","32004241-5854-5809-f297-d0171ad1a8fc","1978-11-24","DB","DB",NA,NA,74,210,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/enx6fdjajjvtdybuhixn","Baylor",NA,"23",2001,2007,"CLE","RES",NA,NA,7,NA,NA,2001,2,62,"BAL"
"1309","00-0000910","Brad Baxter","Brad","Herman","Baxter",NA,NA,NA,"BAX569540",NA,"BaxtBr00",NA,NA,"6703","32004241-5856-9540-c293-273e293ec56c","1967-05-05","RB","FB",NA,NA,73,235,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dyogwgx2xvmftaoz2trk","Alabama State",NA,"0",1989,1995,"NYJ","ACT",NA,NA,6,NA,NA,1989,11,303,"MIN"
"1310","00-0021253","Jarrod Baxter","Jarrod","Jarrod","Baxter",NA,NA,NA,"BAX626752","27268","BaxtJa00","1132",NA,"3664","32004241-5862-6752-d85d-e997167fc82e","1979-03-09","RB","RB",NA,NA,73,243,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vp4uour5on7uoaneuz4z","New Mexico",NA,"44",2002,2005,"ARI","CUT",NA,NA,4,NA,NA,2002,5,136,"HOU"
"1311","00-0032687","Keith Baxter","Keith","Keith","Baxter",NA,"Keith",NA,"BAX650858","43807","BaxtKe00",NA,NA,"2582034","32004241-5865-0858-663d-7f0dfcd7f1be","1992-06-04","DB","DB",NA,NA,71,192,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/afpumuprpoklfbccctms","Marshall",NA,"46",2016,2017,"KC","RES","UFA",NA,1,NA,NA,NA,NA,NA,NA
"1312","00-0030975","Alex Bayer","Alex","Alex","Bayer",NA,NA,NA,"BAY012833",NA,"BayeAl00","9299","3571","17110","32004241-5901-2833-afd3-40e1b631ec74","1990-11-08","TE","TE",NA,NA,76,258,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/m8pjsq97u43w7tlwugla","Bowling Green",NA,"0",2014,2015,"LAC","NWT",NA,NA,2,"TE",NA,NA,NA,NA,NA
"1313","00-0040359","Jacob Bayer","Jacob","Jacob","Bayer","J.Bayer","Jacob",NA,"BAY031583","58795","BayeJa00","150349",NA,"4879478","32004241-5903-1583-b213-9c689f45cfd8","2002-12-12","OL","C","OL","C",75,310,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ry9kwdet7vtphldtlbqi","Arkansas State; Lamar","Sun Belt Conference",NA,2025,2026,"CIN","ACT","RES","Reserve/Future",1,NA,NA,NA,NA,NA,NA
"1314","00-0025670","Steve Baylark","Steve","Steve","Baylark",NA,NA,NA,"BAY069558",NA,NA,NA,NA,NA,"32004241-5906-9558-32d5-3602a073b1c9","1983-07-28","RB","RB",NA,NA,72,225,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fcspntxwjyf2ljwwlcf1","UMass Amherst",NA,"0",2007,2008,"DEN","DEV",NA,NA,2,NA,NA,NA,NA,NA,NA
"1315","00-0000915","Martin Bayless","Martin","Martin","Bayless",NA,NA,NA,"BAY083058",NA,"BaylMa20",NA,NA,"7031","32004241-5908-3058-40a1-45dad3333982","1962-10-11","DB","DB",NA,NA,74,223,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/j1btpnt1rq0p05whbfsr","Bowling Green",NA,"21",1984,1996,"KC","ACT",NA,NA,13,NA,NA,1984,4,101,"LA"
"1316","00-0035947","Omar Bayless","Omar","Omar","Bayless","O.Bayless","Omar",NA,"BAY124587","52849","BaylOm01","25522","9195","3917166","32004241-5912-4587-7ad0-576961982cf1","1996-12-15","WR","WR","WR","SLOT_WR",73,210,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yi21wpfzppjd4ehkhcyd","Arkansas State","Sun Belt Conference","17",2020,2021,"CAR","CUT","CUT","Waivers/No Rec.",2,NA,NA,NA,NA,NA,NA
"1317","BAY166116","Rick Bayless","Rick","Richard","Bayless",NA,NA,NA,"BAY166116",NA,"BaylRi20",NA,NA,NA,"32004241-5916-6116-b8a5-46fcd79ba12c","1964-10-15","RB","RB",NA,NA,72,202,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tyccmoxtih9wvc2t0avh","Iowa",NA,"0",1989,1989,"MIN","ACT",NA,NA,0,NA,NA,NA,NA,NA,NA
"1318","00-0033763","Evan Baylis","Evan","Evan","Baylis","E.Baylis","Evan",NA,"BAY374377","45641","BaylEv00","23652","6239","2971280","32004241-5937-4377-541e-3cd274a7f89d","1993-11-18","TE","TE",NA,NA,77,250,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gvuwzjpchrlbmmce3haw","Oregon","Pacific Twelve Conference","0",2017,2020,"KC","DEV","CUT","Waivers/No Rec.",1,"TE",NA,NA,NA,NA,NA
"1319","00-0037115","B.J. Baylor","B.J.","Benjamin","Baylor","B.Baylor","B.J.",NA,"BAY400458","54793","BaylBJ00","52122",NA,"4255988","32004241-5940-0458-ba2a-58b61a2b57e7","1998-09-08","RB","RB",NA,NA,71,205,NA,"Oregon State","Pacific Twelve Conference","35",2022,2022,"ATL","DEV","CUT","Waivers/No Rec.",0,NA,NA,NA,NA,NA,NA
"1320","00-0000918","John Baylor","John","John","Baylor",NA,NA,NA,"BAY415290",NA,"BaylJo21",NA,NA,"7003","32004241-5941-5290-957a-16e8bdd600d0","1965-03-05","DB","S",NA,NA,72,192,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zti3v6wlzdawh8wqa4de","Southern Mississippi",NA,"0",1989,1993,"IND","ACT",NA,NA,6,NA,NA,1988,5,129,"IND"
"1321","BAY498348","Raymond Baylor","Raymond","Raymond","Baylor",NA,NA,NA,"BAY498348",NA,"BaylRa20",NA,NA,NA,"32004241-5949-8348-1298-553c064a86d7","1947-03-07","DL","DE",NA,NA,77,263,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/h0xsppeblboaxyezwkiy","Texas Southern",NA,"0",1974,1974,"LAC","ACT",NA,NA,1,NA,NA,NA,NA,NA,NA
"1322","BAY581406","Tim Baylor","Tim","Timothy","Baylor",NA,NA,NA,"BAY581406",NA,"BaylTi20",NA,NA,NA,"32004241-5958-1406-e8af-f5c87f926991","1954-05-23","DB","FS",NA,NA,78,195,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ocuhlohmfvulmx4j0kw9","Morgan State",NA,"0",1976,1979,"MIN","ACT",NA,NA,4,NA,NA,1976,10,283,"BAL"
"1323","00-0000919","Chris Bayne","Chris","Christopher","Bayne",NA,NA,NA,"BAY638214","22552","BaynCh20","11651",NA,"8158","32004241-5963-8214-df46-981ba8484e7e","1975-03-22","DB","DB",NA,NA,73,205,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/uml8alp8otkyx3sfwwtq","Fresno State; San Bernardino Valley",NA,"47",1997,1998,"ATL","ACT",NA,NA,2,NA,NA,1997,7,222,"ATL"
"1324","00-0040415","Connor Bazelak","Connor","Connor","Bazelak","C.Bazelak","Connor",NA,"BAZ447419","58859","BazeCo00","99135","12630","4426444","32004241-5a44-7419-ee4b-ea21e0cb3a8f","2000-09-22","QB","QB","QB","QB",75,225,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bac9zwjhpy5rbcr6zrug","Bowling Green; Indiana; Missouri","Mid-American Conference","8",2025,2026,"TB","ACT","ACT","Active",2,NA,NA,NA,NA,NA,NA
"1325","00-0025449","Dan Bazuin","Dan","Dan","Bazuin",NA,NA,NA,"BAZ717322","32255",NA,NA,NA,NA,"32004241-5a71-7322-eacf-11eeac21f871","1983-07-22","DL","DE",NA,NA,75,260,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ytbkm9mkxnidd3qnogui","Central Michigan",NA,"0",2007,2008,"HOU","DEV",NA,NA,2,NA,NA,NA,NA,NA,NA
"1326","00-0023912","Arliss Beach","Arliss","Arliss","Beach",NA,NA,NA,"BEA015686",NA,NA,NA,NA,NA,"32004245-4101-5686-58a2-42c49ab9cd70","1984-03-28","RB","RB",NA,NA,70,219,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ulhnhvodmldv6eu24rpk","Kentucky",NA,"0",2006,2008,"HOU","CUT",NA,NA,1,NA,NA,NA,NA,NA,NA
"1327","00-0000925","Pat Beach","Pat","Patrick","Beach",NA,NA,NA,"BEA055372",NA,"BeacPa00",NA,NA,"6423","32004245-4105-5372-bf97-d56cec00dd00","1959-12-28","TE","TE",NA,NA,76,243,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bjo4n1vhfcha2oitpso9","Washington State",NA,"0",1982,1993,"ARI","ACT",NA,NA,12,NA,NA,1982,6,140,"BAL"
"1328","00-0000926","Sanjay Beach","Sanjay","Sanjay","Beach",NA,NA,NA,"BEA083058",NA,"BeacSa00",NA,NA,"6790","32004245-4108-3058-a039-876fb8035ede","1966-02-21","WR","WR",NA,NA,72,189,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zc7vrv8kj6keko8y9eab","Colorado State",NA,"0",1989,1993,"SF","ACT",NA,NA,3,NA,NA,NA,NA,NA,NA
"1329","00-0029316","Kelvin Beachum","Kelvin","Kelvin","Beachum","K.Beachum","Kelvin",NA,"BEA111513","38779","BeacKe00","7229","1614","15035","32004245-4111-1513-5626-cd2b32ceb041","1989-06-08","OL","OT","OL","T",75,308,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dgul4jljoasida1h8tag","SMU","Conference USA","68",2012,2026,"ARI","UFA","ACT","Active",15,"T","A",2012,7,248,"PIT"
"1330","00-0019203","Terrance Beadles","Terrance","Terrance","Beadles",NA,NA,NA,"BEA113820",NA,NA,NA,NA,NA,"32004245-4111-3820-eee8-900a283439ce","1976-04-27","OL","G",NA,NA,75,300,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/inytkj763om65jnk1bxa","University of Arkansas at Pine Bluff",NA,"75",2000,2000,"NE","RES",NA,NA,0,NA,NA,NA,NA,NA,NA
"1331","00-0027658","Zane Beadles","Zane","Zane","Beadles","Z.Beadles","Zane",NA,"BEA117665","35484","BeadZa20","5570","49","13261","32004245-4111-7665-27e8-6e0b04158ca2","1986-11-19","OL","G","OL","G",76,305,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rppve04bslxftp1vkgzk","Utah","Mountain West Conference","69",2010,2018,"ATL","ACT","ACT","Active",9,"G",NA,2010,2,45,"DEN"
"1332","00-0034232","Emmanuel Beal","Emmanuel","Emmanuel","Beal","E.Beal","Emmanuel",NA,"BEA135400","46485","BealEm00","28139","7574","4037632","32004245-4113-5400-c9bf-80b9a6406c48","1995-06-26","LB","LB",NA,NA,72,223,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/iplbilmcncsrh54e3y43","Oklahoma",NA,"43",2018,2018,"SEA","RES","RES",NA,0,NA,NA,NA,NA,NA,NA
"1333","00-0028185","Jeremy Beal","Jeremy","Jeremy","Beal",NA,NA,NA,"BEA136122","37322","BealJe00","6399","23","14090","32004245-4113-6122-d15c-12fcddb2a9b2","1987-12-02","DL","DE",NA,NA,75,276,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xloki0wk1gq5rh9jce51","Oklahoma",NA,"93",2011,2012,"DEN","RES",NA,NA,1,NA,NA,2011,7,247,"DEN"
"1334","00-0038603","Robert Beal Jr.","Robert","Robert","Beal","R.Beal","Robert",NA,"BEA158040","56038","BealRo00","57840","10997","4259558","32004245-4115-8040-cf61-5173f5b6029d","1999-08-18","DL","DE","DL","EDGE",76,250,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yuxokzgzu2p3o68w0wfx","Georgia","Southeastern Conference",NA,2023,2026,"MIA","ACT","ACT","Active",4,"ED","A",2023,5,173,"SF"
"1335","00-0034839","Sam Beal","Sam","Sam","Beal","S.Beal","Sam",NA,"BEA144197","46983","BealSa00","13822","7674","3916720","32004245-4114-4197-d93b-43a373f8a8d4","1996-08-30","DB","DB","DB","CB",73,192,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/i2f6dvzikdojakefus8n","Western Michigan","Mid-American Conference","0",2018,2021,"NYG","CUT","CUT","Practice Squad",3,"CB",NA,2018,3,1,"NYG"
"1336","BEA166116","Bill Bealles","Bill","William","Bealles",NA,NA,NA,"BEA166116",NA,"BealBi20",NA,NA,NA,"32004245-4116-6116-dcc1-750045277912","1963-06-11","OL","OT",NA,NA,79,290,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gygv0xb5vgdxolx0engh","Northern Iowa; Northern Illinois",NA,"0",1987,1987,"MIA","ACT",NA,NA,1,NA,NA,NA,NA,NA,NA
"1337","BEA221488","Shawn Beals","Shawn","Shawn","Beals",NA,NA,NA,"BEA221488",NA,"BealSh20",NA,NA,NA,"32004245-4122-1488-daaf-e93d7dbeafd2","1966-08-16","WR","WR",NA,NA,70,178,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dnjkun2h7hycc0f1nxeh","Idaho State",NA,"0",1988,1988,"PHI","ACT",NA,NA,0,NA,NA,NA,NA,NA,NA
"1338","BEA276860","Autry Beamon","Autry","Autry","Beamon",NA,NA,NA,"BEA276860",NA,"BeamAu20",NA,NA,NA,"32004245-4127-6860-ec54-e6b4f759ad9f","1953-11-12","DB","FS",NA,NA,73,190,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/twpf5dzk6yebcfg7nqk9","Texas A&M-Commerce",NA,"0",1975,1981,"CLE","ACT",NA,NA,7,NA,NA,1975,12,311,"MIN"
"1339","00-0000932","Willie Beamon","Willie","Willie","Beamon",NA,NA,NA,"BEA288110",NA,"BeamWi20",NA,NA,"7509","32004245-4128-8110-ae84-2fef1b8a8dbc","1970-06-14","DB","DB",NA,NA,71,184,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tmm27aatyovqvtarhnps","Northern Iowa",NA,"21",1993,1996,"NYG","RES",NA,NA,4,NA,NA,NA,NA,NA,NA
"1340","BEA332232","Bubba Bean","Bubba","Earnest","Bean",NA,NA,NA,"BEA332232",NA,"BeanBu00",NA,NA,NA,"32004245-4133-2232-38e3-429d3f245138","1954-01-26","RB","RB",NA,NA,71,195,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wploobxfsi7jlqoi6s6c","Texas A&M",NA,"0",1976,1979,"ATL","ACT",NA,NA,3,NA,NA,1976,1,9,"ATL"
"1341","00-0039575","Jason Bean","Jason","Jason","Bean","J.Bean","Jason",NA,"BEA335664","57695","BeanJa00","83529","12042","4360900","32004245-4133-5664-fb8a-1a183951f209","1999-12-03","QB","QB","QB","QB",74,196,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zxxuqmmnjevwu2vmzwez","Kansas; North Texas","Big Twelve Conference","8",2024,2024,"IND","RSR","CUT","Waivers/No Rec.",0,NA,NA,NA,NA,NA,NA
"1342","00-0033192","Jimmy Bean","Jimmy","Jimmy","Bean","J.Bean","Jimmy",NA,"BEA337135","44332","BeanJi01","11504","5541","2577505","32004245-4133-7135-d664-3e5102e4777d","1993-11-08","DL","DE","DL","EDGE",77,251,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/onhfgdtveihfrz4sddcb","Oklahoma State",NA,"0",2016,2016,"LV","DEV","CUT",NA,0,NA,NA,NA,NA,NA,NA
"1343","00-0019479","Robert Bean","Robert","Robert","Bean",NA,NA,NA,"BEA344982","25443","BeanRo20",NA,NA,"3998278","32004245-4134-4982-4c8a-91361c6dc4a3","1978-01-06","DB","DB",NA,NA,71,178,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yzdwrerbf65l7sq99iu2","Mississippi State; Georgia Military",NA,"22",2000,2002,"JAX","RES",NA,NA,3,NA,NA,2000,5,133,"CIN"
